T_K,xi_pi,u,alpha_c,beta_c
0.0000000000e+00,2.5526315789e-01,7.4473684211e-01,7.6626922656e-02,3.6023654608e-02
0.0000000000e+00,2.5463659148e-01,7.4536340852e-01,7.5885664879e-02,3.6435126814e-02
0.0000000000e+00,2.5401002506e-01,7.4598997494e-01,7.5141588160e-02,3.6848858810e-02
0.0000000000e+00,2.5338345865e-01,7.4661654135e-01,7.4394688811e-02,3.7264858504e-02
0.0000000000e+00,2.5275689223e-01,7.4724310777e-01,7.3644963142e-02,3.7683133821e-02
0.0000000000e+00,2.5213032581e-01,7.4786967419e-01,7.2892407462e-02,3.8103692702e-02
0.0000000000e+00,2.5150375940e-01,7.4849624060e-01,7.2137018083e-02,3.8526543106e-02
0.0000000000e+00,2.5087719298e-01,7.4912280702e-01,7.1378791315e-02,3.8951693008e-02
0.0000000000e+00,2.5025062657e-01,7.4974937343e-01,7.0617723468e-02,3.9379150402e-02
0.0000000000e+00,2.4962406015e-01,7.5037593985e-01,6.9853810851e-02,3.9808923296e-02
0.0000000000e+00,2.4899749373e-01,7.5100250627e-01,6.9087049777e-02,4.0241019717e-02
0.0000000000e+00,2.4837092732e-01,7.5162907268e-01,6.8317436554e-02,4.0675447710e-02
0.0000000000e+00,2.4774436090e-01,7.5225563910e-01,6.7544967493e-02,4.1112215335e-02
0.0000000000e+00,2.4711779449e-01,7.5288220551e-01,6.6769638904e-02,4.1551330672e-02
0.0000000000e+00,2.4649122807e-01,7.5350877193e-01,6.5991447098e-02,4.1992801814e-02
0.0000000000e+00,2.4586466165e-01,7.5413533835e-01,6.5210388385e-02,4.2436636876e-02
0.0000000000e+00,2.4523809524e-01,7.5476190476e-01,6.4426459076e-02,4.2882843986e-02
0.0000000000e+00,2.4461152882e-01,7.5538847118e-01,6.3639655479e-02,4.3331431291e-02
0.0000000000e+00,2.4398496241e-01,7.5601503759e-01,6.2849973907e-02,4.3782406957e-02
0.0000000000e+00,2.4335839599e-01,7.5664160401e-01,6.2057410669e-02,4.4235779164e-02
0.0000000000e+00,2.4273182957e-01,7.5726817043e-01,6.1261962074e-02,4.4691556112e-02
0.0000000000e+00,2.4210526316e-01,7.5789473684e-01,6.0463624435e-02,4.5149746016e-02
0.0000000000e+00,2.4147869674e-01,7.5852130326e-01,5.9662394061e-02,4.5610357109e-02
0.0000000000e+00,2.4085213033e-01,7.5914786967e-01,5.8858267261e-02,4.6073397644e-02
0.0000000000e+00,2.4022556391e-01,7.5977443609e-01,5.8051240348e-02,4.6538875886e-02
0.0000000000e+00,2.3959899749e-01,7.6040100251e-01,5.7241309630e-02,4.7006800123e-02
0.0000000000e+00,2.3897243108e-01,7.6102756892e-01,5.6428471418e-02,4.7477178657e-02
