T_K,xi_pi,u,alpha_c,beta_c
3.0000000000e+02,2.5150375940e-01,7.4849624060e-01,7.1361575449e-02,3.8092103990e-02
3.0000000000e+02,2.5087719298e-01,7.4912280702e-01,7.0595454612e-02,3.8512096216e-02
3.0000000000e+02,2.5025062657e-01,7.4974937343e-01,6.9826459686e-02,3.8934361942e-02
3.0000000000e+02,2.4962406015e-01,7.5037593985e-01,6.9054586903e-02,3.9358909022e-02
3.0000000000e+02,2.4899749373e-01,7.5100250627e-01,6.8279832499e-02,3.9785745326e-02
3.0000000000e+02,2.4837092732e-01,7.5162907268e-01,6.7502192705e-02,4.0214878744e-02
3.0000000000e+02,2.4774436090e-01,7.5225563910e-01,6.6721663755e-02,4.0646317180e-02
3.0000000000e+02,2.4711779449e-01,7.5288220551e-01,6.5938241883e-02,4.1080068555e-02
3.0000000000e+02,2.4649122807e-01,7.5350877193e-01,6.5151923321e-02,4.1516140807e-02
3.0000000000e+02,2.4586466165e-01,7.5413533835e-01,6.4362704303e-02,4.1954541892e-02
3.0000000000e+02,2.4523809524e-01,7.5476190476e-01,6.3570581060e-02,4.2395279780e-02
3.0000000000e+02,2.4461152882e-01,7.5538847118e-01,6.2775549827e-02,4.2838362460e-02
3.0000000000e+02,2.4398496241e-01,7.5601503759e-01,6.1977606836e-02,4.3283797936e-02
3.0000000000e+02,2.4335839599e-01,7.5664160401e-01,6.1176748319e-02,4.3731594230e-02
3.0000000000e+02,2.4273182957e-01,7.5726817043e-01,6.0372970509e-02,4.4181759381e-02
3.0000000000e+02,2.4210526316e-01,7.5789473684e-01,5.9566269639e-02,4.4634301444e-02
3.0000000000e+02,2.4147869674e-01,7.5852130326e-01,5.8756641941e-02,4.5089228491e-02
3.0000000000e+02,2.4085213033e-01,7.5914786967e-01,5.7944083648e-02,4.5546548610e-02
3.0000000000e+02,2.4022556391e-01,7.5977443609e-01,5.7128590991e-02,4.6006269908e-02
3.0000000000e+02,2.3959899749e-01,7.6040100251e-01,5.6310160203e-02,4.6468400507e-02
3.0000000000e+02,2.3897243108e-01,7.6102756892e-01,5.5488787516e-02,4.6932948546e-02
3.0000000000e+02,2.3834586466e-01,7.6165413534e-01,5.4664469162e-02,4.7399922182e-02
3.0000000000e+02,2.3771929825e-01,7.6228070175e-01,5.3837201373e-02,4.7869329588e-02
3.0000000000e+02,2.3709273183e-01,7.6290726817e-01,5.3006980380e-02,4.8341178954e-02
3.0000000000e+02,2.3646616541e-01,7.6353383459e-01,5.2173802417e-02,4.8815478488e-02
3.0000000000e+02,2.3583959900e-01,7.6416040100e-01,5.1337663713e-02,4.9292236412e-02
3.0000000000e+02,2.3521303258e-01,7.6478696742e-01,5.0498560502e-02,4.9771460969e-02
3.0000000000e+02,2.3458646617e-01,7.6541353383e-01,4.9656489014e-02,5.0253160416e-02
3.0000000000e+02,2.3395989975e-01,7.6604010025e-01,4.8811445480e-02,5.0737343028e-02
3.0000000000e+02,2.3333333333e-01,7.6666666667e-01,4.7963426134e-02,5.1224017097e-02
3.0000000000e+02,2.3270676692e-01,7.6729323308e-01,4.7112427204e-02,5.1713190933e-02
3.0000000000e+02,2.3208020050e-01,7.6791979950e-01,4.6258444924e-02,5.2204872861e-02
3.0000000000e+02,2.3145363409e-01,7.6854636591e-01,4.5401475523e-02,5.2699071225e-02
3.0000000000e+02,2.3082706767e-01,7.6917293233e-01,4.4541515234e-02,5.3195794384e-02
3.0000000000e+02,2.3020050125e-01,7.6979949875e-01,4.3678560287e-02,5.3695050717e-02
3.0000000000e+02,2.2957393484e-01,7.7042606516e-01,4.2812606912e-02,5.4196848617e-02
3.0000000000e+02,2.2894736842e-01,7.7105263158e-01,4.1943651341e-02,5.4701196497e-02
3.0000000000e+02,2.2832080201e-01,7.7167919799e-01,4.1071689805e-02,5.5208102785e-02
3.0000000000e+02,2.2769423559e-01,7.7230576441e-01,4.0196718534e-02,5.5717575927e-02
3.0000000000e+02,2.2706766917e-01,7.7293233083e-01,3.9318733758e-02,5.6229624386e-02
3.0000000000e+02,2.2644110276e-01,7.7355889724e-01,3.8437731708e-02,5.6744256642e-02
3.0000000000e+02,2.2581453634e-01,7.7418546366e-01,3.7553708616e-02,5.7261481194e-02
3.0000000000e+02,2.2518796992e-01,7.7481203008e-01,3.6666660710e-02,5.7781306555e-02
3.0000000000e+02,2.2456140351e-01,7.7543859649e-01,3.5776584221e-02,5.8303741258e-02
3.0000000000e+02,2.2393483709e-01,7.7606516291e-01,3.4883475380e-02,5.8828793852e-02
3.0000000000e+02,2.2330827068e-01,7.7669172932e-01,3.3987330416e-02,5.9356472904e-02
3.0000000000e+02,2.2268170426e-01,7.7731829574e-01,3.3088145559e-02,5.9886786998e-02
3.0000000000e+02,2.2205513784e-01,7.7794486216e-01,3.2185917040e-02,6.0419744734e-02
3.0000000000e+02,2.2142857143e-01,7.7857142857e-01,3.1280641088e-02,6.0955354732e-02
3.0000000000e+02,2.2080200501e-01,7.7919799499e-01,3.0372313933e-02,6.1493625626e-02
3.0000000000e+02,2.2017543860e-01,7.7982456140e-01,2.9460931805e-02,6.2034566072e-02
3.0000000000e+02,2.1954887218e-01,7.8045112782e-01,2.8546490933e-02,6.2578184738e-02
3.0000000000e+02,2.1892230576e-01,7.8107769424e-01,2.7628987547e-02,6.3124490313e-02
3.0000000000e+02,2.1829573935e-01,7.8170426065e-01,2.6708417876e-02,6.3673491502e-02
3.0000000000e+02,2.1766917293e-01,7.8233082707e-01,2.5784778150e-02,6.4225197029e-02
3.0000000000e+02,2.1704260652e-01,7.8295739348e-01,2.4858064598e-02,6.4779615633e-02
3.0000000000e+02,2.1641604010e-01,7.8358395990e-01,2.3928273448e-02,6.5336756073e-02
3.0000000000e+02,2.1578947368e-01,7.8421052632e-01,2.2995400932e-02,6.5896627123e-02
3.0000000000e+02,2.1516290727e-01,7.8483709273e-01,2.2059443276e-02,6.6459237576e-02
3.0000000000e+02,2.1453634085e-01,7.8546365915e-01,2.1120396711e-02,6.7024596243e-02
3.0000000000e+02,2.1390977444e-01,7.8609022556e-01,2.0178257465e-02,6.7592711952e-02
3.0000000000e+02,2.1328320802e-01,7.8671679198e-01,1.9233021767e-02,6.8163593547e-02
3.0000000000e+02,2.1265664160e-01,7.8734335840e-01,1.8284685845e-02,6.8737249891e-02
3.0000000000e+02,2.1203007519e-01,7.8796992481e-01,1.7333245929e-02,6.9313689866e-02
3.0000000000e+02,2.1140350877e-01,7.8859649123e-01,1.6378698247e-02,6.9892922368e-02
3.0000000000e+02,2.1077694236e-01,7.8922305764e-01,1.5421039027e-02,7.0474956314e-02
3.0000000000e+02,2.1015037594e-01,7.8984962406e-01,1.4460264498e-02,7.1059800637e-02
3.0000000000e+02,2.0952380952e-01,7.9047619048e-01,1.3496370888e-02,7.1647464288e-02
3.0000000000e+02,2.0889724311e-01,7.9110275689e-01,1.2529354425e-02,7.2237956236e-02
3.0000000000e+02,2.0827067669e-01,7.9172932331e-01,1.1559211338e-02,7.2831285466e-02
3.0000000000e+02,2.0764411028e-01,7.9235588972e-01,1.0585937854e-02,7.3427460982e-02
3.0000000000e+02,2.0701754386e-01,7.9298245614e-01,9.6095302023e-03,7.4026491808e-02
3.0000000000e+02,2.0639097744e-01,7.9360902256e-01,8.6299846098e-03,7.4628386980e-02
3.0000000000e+02,2.0576441103e-01,7.9423558897e-01,7.6472973046e-03,7.5233155558e-02
3.0000000000e+02,2.0513784461e-01,7.9486215539e-01,6.6614645146e-03,7.5840806615e-02
3.0000000000e+02,2.0451127820e-01,7.9548872180e-01,5.6724824672e-03,7.6451349245e-02
3.0000000000e+02,2.0388471178e-01,7.9611528822e-01,4.6803473903e-03,7.7064792558e-02
3.0000000000e+02,2.0325814536e-01,7.9674185464e-01,3.6850555112e-03,7.7681145681e-02
3.0000000000e+02,2.0263157895e-01,7.9736842105e-01,2.6866030575e-03,7.8300417762e-02
3.0000000000e+02,2.0200501253e-01,7.9799498747e-01,1.6849862564e-03,7.8922617963e-02
3.0000000000e+02,2.0137844612e-01,7.9862155388e-01,6.8020133531e-04,7.9547755468e-02
