u,xi_pi,alpha_c,beta_c,physical
6.803675856307e-01,3.196324143693e-01,1.384446269545e-01,4.403676575313e-03,1.000000000000e+00
6.807017543860e-01,3.192982456140e-01,1.381935602318e-01,4.519952491778e-03,1.000000000000e+00
6.810359231412e-01,3.189640768588e-01,1.379417999872e-01,4.636664132667e-03,1.000000000000e+00
6.813700918964e-01,3.186299081036e-01,1.376893456612e-01,4.753812445125e-03,1.000000000000e+00
6.817042606516e-01,3.182957393484e-01,1.374361966940e-01,4.871398377525e-03,1.000000000000e+00
6.820384294069e-01,3.179615705931e-01,1.371823525257e-01,4.989422879471e-03,1.000000000000e+00
6.823725981621e-01,3.176274018379e-01,1.369278125967e-01,5.107886901795e-03,1.000000000000e+00
6.827067669173e-01,3.172932330827e-01,1.366725763473e-01,5.226791396565e-03,1.000000000000e+00
6.830409356725e-01,3.169590643275e-01,1.364166432177e-01,5.346137317077e-03,1.000000000000e+00
6.833751044277e-01,3.166248955723e-01,1.361600126480e-01,5.465925617864e-03,1.000000000000e+00
6.837092731830e-01,3.162907268170e-01,1.359026840787e-01,5.586157254690e-03,1.000000000000e+00
6.840434419382e-01,3.159565580618e-01,1.356446569500e-01,5.706833184555e-03,1.000000000000e+00
6.843776106934e-01,3.156223893066e-01,1.353859307021e-01,5.827954365694e-03,1.000000000000e+00
6.847117794486e-01,3.152882205514e-01,1.351265047752e-01,5.949521757578e-03,1.000000000000e+00
6.850459482038e-01,3.149540517962e-01,1.348663786097e-01,6.071536320916e-03,1.000000000000e+00
6.853801169591e-01,3.146198830409e-01,1.346055516457e-01,6.193999017652e-03,1.000000000000e+00
6.857142857143e-01,3.142857142857e-01,1.343440233236e-01,6.316910810972e-03,1.000000000000e+00
6.860484544695e-01,3.139515455305e-01,1.340817930836e-01,6.440272665297e-03,1.000000000000e+00
6.863826232247e-01,3.136173767753e-01,1.338188603660e-01,6.564085546291e-03,1.000000000000e+00
6.867167919799e-01,3.132832080201e-01,1.335552246109e-01,6.688350420859e-03,1.000000000000e+00
6.870509607352e-01,3.129490392648e-01,1.332908852588e-01,6.813068257143e-03,1.000000000000e+00
6.873851294904e-01,3.126148705096e-01,1.330258417497e-01,6.938240024533e-03,1.000000000000e+00
6.877192982456e-01,3.122807017544e-01,1.327600935241e-01,7.063866693657e-03,1.000000000000e+00
6.880534670008e-01,3.119465329992e-01,1.324936400220e-01,7.189949236389e-03,1.000000000000e+00
6.883876357561e-01,3.116123642439e-01,1.322264806839e-01,7.316488625847e-03,1.000000000000e+00
6.887218045113e-01,3.112781954887e-01,1.319586149499e-01,7.443485836395e-03,1.000000000000e+00
6.890559732665e-01,3.109440267335e-01,1.316900422604e-01,7.570941843640e-03,1.000000000000e+00
6.893901420217e-01,3.106098579783e-01,1.314207620555e-01,7.698857624440e-03,1.000000000000e+00
6.897243107769e-01,3.102756892231e-01,1.311507737755e-01,7.827234156896e-03,1.000000000000e+00
6.900584795322e-01,3.099415204678e-01,1.308800768608e-01,7.956072420359e-03,1.000000000000e+00
6.903926482874e-01,3.096073517126e-01,1.306086707514e-01,8.085373395430e-03,1.000000000000e+00
6.907268170426e-01,3.092731829574e-01,1.303365548878e-01,8.215138063958e-03,1.000000000000e+00
6.910609857978e-01,3.089390142022e-01,1.300637287101e-01,8.345367409043e-03,1.000000000000e+00
6.913951545530e-01,3.086048454470e-01,1.297901916586e-01,8.476062415035e-03,1.000000000000e+00
6.917293233083e-01,3.082706766917e-01,1.295159431736e-01,8.607224067539e-03,1.000000000000e+00
6.920634920635e-01,3.079365079365e-01,1.292409826953e-01,8.738853353408e-03,1.000000000000e+00
